"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00625,0.0107758620689655,0.30440670710847,1.60925765600595,0,200,"c(""SUPV3L1"", ""SUCLA2"", ""NDUFV1"", ""ECI1"", ""RHOT2"", ""DLST"", ""AFG3L2"", ""PDHA1"", ""SLC25A6"", ""BCKDHA"", ""IDH3B"", ""PMPCA"", ""SLC25A4"", ""CYB5A"", ""MRPL34"", ""ACO2"", ""NDUFB2"", ""SUCLG1"", ""NNT"", ""LRPPRC"", ""COX6B1"", ""MRPS22"", ""SLC25A11"", ""MRPL15"", ""UQCR11"", ""AIFM1"", ""IDH3G"", ""ATP5MC1"", ""GLUD1"", ""TIMM13"", ""TIMM50"", ""ATP5F1D"", ""NDUFS7"", ""UQCRC1"", ""POLR2F"", ""IDH3A"", ""UQCRC2"", ""RETSAT"", ""MRPL11"", ""SLC25A3"", ""MDH1"", ""CYC1"", ""OGDH"", ""NDUFA3"", ""GRPEL1"", ""UQCRFS1"", ""VDAC2"", ""TIMM17A"", ""SURF1"", ""NDUFS6"", ""PHYH"", ""FH"", ""COX10"", 
""MFN2"", ""NDUFB8"", ""HADHA"", ""NDUFB7"", ""ACAA1"", ""CPT1A"", ""OPA1"", ""UQCRH"", ""MTX2"", ""ETFDH"", ""MRPL35"", ""ATP6V1D"", ""ATP5MG"", ""MRPS30"", ""NDUFA9"", ""ECHS1"", ""TOMM70"", ""COX5B"", ""NDUFB5"", ""NDUFS3"", ""HSD17B10"", ""SLC25A20"", ""PDHB"")"
"2","HALLMARK_KRAS_SIGNALING_DN",0.170854271356784,0.219043937636902,0.214594475541377,1.11215059577864,33,166,"c(""CLDN8"", ""THRB"", ""COL2A1"", ""NR6A1"", ""FGFR3"", ""CAPN9"", ""P2RY4"", ""PRKN"", ""PCDHB1"", ""LFNG"", ""EDN1"", ""MFSD6"", ""ARHGDIG"", ""GPRC5C"", ""NPY4R"", ""SIDT1"", ""CPB1"", ""RGS11"", ""ZC2HC1C"", ""TFCP2L1"", ""HNF1A"", ""COQ8A"", ""TAS2R4"", ""MAGIX"", ""CD207"", ""ABCG4"", ""IDUA"", ""KRT15"", ""IFI44L"", ""CCDC106"", ""MX1"", ""DLK2"", ""PDK2"", ""MSH5"", ""PRODH"", ""EDAR"", ""UGT2B17"", ""SLC25A23"", ""ZNF112"", ""HSD11B2"", ""ABCB11"", ""ALOX12B"", ""FGGY"", ""SPHK2"")"
"3","HALLMARK_DNA_REPAIR",0.256038647342995,0.312242252857311,0.211520778978428,1.0763274573481,52,148,"c(""POLL"", ""DGCR8"", ""VPS37B"", ""RAD52"", ""POLR2H"", ""AK1"", ""CANT1"", ""UMPS"", ""NT5C"", ""SRSF6"", ""ITPA"", ""TAF9"", ""ERCC5"", ""POM121"", ""ADCY6"", ""NELFB"", ""VPS28"", ""SMAD5"", ""SNAPC4"", ""AK3"", ""STX3"", ""NME3"", ""POLR1C"", ""POLD1"", ""POLR2F"", ""DCTN4"", ""SAC3D1"", ""GTF2A2"", ""GTF2H3"", ""SURF1"", ""APRT"", ""POLB"", ""GTF2H5"", ""NUDT21"", ""ERCC1"", ""NELFE"", ""POLD4"")"
"4","HALLMARK_PANCREAS_BETA_CELLS",0.497159090909091,0.554229647308406,0.253077838705066,0.975614317221826,174,37,"c(""INSM1"", ""CHGA"", ""FOXA2"", ""DCX"", ""NEUROD1"", ""PAX6"", ""HNF1A"", ""GCG"", ""VDR"", ""G6PC2"")"
"5","HALLMARK_MYC_TARGETS_V2",0.912663755458515,0.912663755458515,-0.190729440807488,-0.708025647633509,626,58,"c(""MAP3K6"", ""SRM"", ""HK2"", ""RCL1"", ""SORD"", ""NOLC1"", ""DUSP2"", ""HSPE1"", ""BYSL"", ""WDR74"", ""PLK4"", ""DDX18"", ""CBX3"", ""NPM1"", ""PA2G4"", ""CDK4"", ""NDUFAF4"")"
"6","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.768645357686454,0.784331997639238,-0.236787696149606,-0.813663611354804,504,39,"c(""DKK1"", ""NCSTN"", ""WNT5B"", ""CSNK1E"", ""RBPJ"", ""CUL1"", ""NUMB"", ""CCND2"", ""CTNNB1"", ""NOTCH4"", ""DVL2"", ""FZD1"", ""ADAM17"", ""HEY2"")"
"7","HALLMARK_NOTCH_SIGNALING",0.617784711388456,0.657217778072825,-0.271398422703,-0.895035612772898,395,32,"c(""WNT5A"", ""ST3GAL6"", ""NOTCH3"", ""CCND1"", ""DTX1"", ""CUL1"", ""RBX1"", ""HEYL"")"
"8","HALLMARK_BILE_ACID_METABOLISM",0.655957161981258,0.683288710397144,-0.21782076144538,-0.900634069410826,489,106,"c(""AQP9"", ""ACSL1"", ""DIO2"", ""CYP7B1"", ""ATXN1"", ""SLC23A2"", ""ABCD1"", ""LCK"", ""GCLM"", ""ISOC1"", ""RBP1"", ""FADS1"", ""PNPLA8"", ""SLC29A1"", ""FADS2"", ""ABCD2"", ""GC"", ""SULT2B1"", ""SLC35B2"", ""FDXR"", ""PAOX"", ""SOD1"")"
"9","HALLMARK_SPERMATOGENESIS",0.556894243641232,0.605319830044817,-0.229317343585697,-0.948169545316075,415,106,"c(""DCC"", ""IL13RA2"", ""SLC2A5"", ""CHRM4"", ""CLPB"", ""GSG1"", ""PARP2"", ""BUB1"", ""ADCYAP1"", ""IL12RB2"", ""SEPTIN4"", ""TLE4"", ""LPIN1"", ""PGS1"", ""JAM3"", ""HSPA1L"", ""ALOX15"", ""RPL39L"", ""IDE"", ""OAZ3"", ""SYCP1"", ""TALDO1"", ""NCAPH"", ""CDK1"", ""PSMG1"")"
"10","HALLMARK_MITOTIC_SPINDLE",0.498806682577566,0.554229647308406,-0.218872029695185,-0.985449441226787,417,199,"c(""ARHGAP10"", ""WASF1"", ""FSCN1"", ""CDC42EP2"", ""RANBP9"", ""DOCK4"", ""PLEKHG2"", ""CCDC88A"", ""BRCA2"", ""TUBGCP3"", ""DOCK2"", ""MAP1S"", ""ARHGEF3"", ""MYO9B"", ""ABI1"", ""DLGAP5"", ""FARP1"", ""ARL8A"", ""CAPZB"", ""PREX1"", ""BUB1"", ""ARHGAP29"", ""ARAP3"", ""PIF1"", ""FBXO5"", ""LLGL1"", ""MYH10"", ""VCL"", ""MID1IP1"", ""NEDD9"", ""FLNA"", ""SMC4"", ""CLASP1"", ""PCGF5"", ""PKD2"", ""SOS1"", ""EPB41L2"", ""DYNLL2"", ""KIF5B"", ""NCK1"")"
"11","HALLMARK_FATTY_ACID_METABOLISM",0.320400500625782,0.372558721657886,-0.246891882345472,-1.07928083772392,255,155,"c(""IL4I1"", ""G0S2"", ""ACSL4"", ""ACSL1"", ""UBE2L6"", ""NBN"", ""TDO2"", ""RDH11"", ""ELOVL5"", ""PSME1"", ""ME1"", ""LDHA"", ""PTPRG"", ""LGALS1"", ""BLVRA"", ""CBR3"", ""OSTC"", ""ENO2"", ""MIF"", ""GABARAPL1"", ""FMO1"")"
"12","HALLMARK_PEROXISOME",0.267379679144385,0.318309141838554,-0.270739681141591,-1.1156863040787,199,100,"c(""ACSL4"", ""ACSL1"", ""RDH11"", ""ELOVL5"", ""SOD2"", ""ATXN1"", ""DLG4"", ""SLC23A2"", ""ABCD1"", ""CADM1"", ""ESR2"", ""PRDX1"", ""ISOC1"", ""FADS1"", ""SLC25A17"", ""PABPC1"", ""ABCB4"", ""ABCD2"", ""SULT2B1"", ""CRABP2"", ""CTPS1"", ""SLC35B2"", ""IDE"", ""SOD1"")"
"13","HALLMARK_ADIPOGENESIS",0.253317249698432,0.312242252857311,-0.248792905292706,-1.1165585786643,209,195,"c(""STOM"", ""COL4A1"", ""DNAJB9"", ""BCL6"", ""RAB34"", ""NABP1"", ""VEGFB"", ""LPL"", ""TANK"", ""ME1"", ""PFKFB3"", ""CAVIN1"", ""COL15A1"", ""FZD4"", ""ANGPT1"", ""STAT5A"", ""LAMA4"", ""C3"", ""SLC27A1"", ""CD302"", ""NKIRAS1"", ""PIM3"", ""TKT"", ""CDKN2C"", ""IFNGR1"", ""YWHAG"", ""ENPP2"", ""APOE"", ""RMDN3"")"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.04583835946924,0.0619437290124865,-0.292359071879772,-1.30825878269864,37,190,"c(""S100A9"", ""SLC7A5"", ""TFAP2C"", ""BATF"", ""SNX10"", ""ATP2B4"", ""RAB31"", ""XBP1"", ""MDK"", ""SERPINA3"", ""SERPINA1"", ""CAV1"", ""HPRT1"", ""ELOVL5"", ""PRKAR2B"", ""JAK2"", ""PTGES"", ""ABHD2"", ""IGFBP4"", ""OLFM1"", ""CYP26B1"", ""MICB"", ""ASS1"", ""FOXC1"", ""RBBP8"", ""CD44"", ""LAMC2"", ""PPIF"", ""FARP1"", ""TMPRSS3"", ""IL6ST"", ""SLC1A4"", ""RPS6KA2"", ""ZFP36"", ""EGR3"", ""SORD"", ""SLC29A1"", ""ALDH3B1"", ""CCND1"", ""TFPI2"", ""DUSP2"", ""HOMER2"", ""SULT2B1"", ""AMFR"")"
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0264423076923077,0.0377747252747253,-0.298314886670055,-1.33897939583502,21,196,"c(""SLC7A5"", ""TFAP2C"", ""STC2"", ""RAB31"", ""TGM2"", ""GJA1"", ""XBP1"", ""ELOVL5"", ""JAK2"", ""BHLHE40"", ""RASGRP1"", ""PTGES"", ""ABHD2"", ""IGFBP4"", ""OLFM1"", ""CYP26B1"", ""ELOVL2"", ""DLC1"", ""MICB"", ""CALB2"", ""FOXC1"", ""RBBP8"", ""CD44"", ""PPIF"", ""OLFML3"", ""FARP1"", ""UGCG"", ""TMPRSS3"", ""PODXL"", ""IL6ST"", ""SLC1A4"", ""RPS6KA2"", ""EGR3"", ""MED13L"", ""ALDH3B1"", ""GAB2"", ""MAST4"", ""SLC39A6"", ""CCND1"", ""MUC1"", ""MYBL1"", ""INHBB"", ""WWC1"", ""SULT2B1"", ""B4GALT1"", ""AMFR"", ""SH3BP5"", ""TIPARP"", ""TGIF2"", ""FHL2"", ""DYNLT3"", ""GREB1"", ""PMAIP1"", ""CXCL12"", 
""INPP5F"", ""ARL3"")"
"16","HALLMARK_APICAL_SURFACE",0.0507462686567164,0.0667714061272584,-0.407124562353439,-1.42402241691551,33,41,"c(""GAS1"", ""THY1"", ""MDGA1"", ""LYN"", ""CX3CL1"", ""SULF2"", ""SRPX"", ""ATP6V0A4"", ""IL2RB"", ""PLAUR"", ""LYPD3"")"
"17","HALLMARK_G2M_CHECKPOINT",0.00835322195704057,0.013472938640388,-0.320754761574527,-1.4441662600957,6,199,"c(""SLC7A5"", ""CENPA"", ""PML"", ""TOP1"", ""BRCA2"", ""KPNB1"", ""HIF1A"", ""ATF5"", ""MAP3K20"", ""E2F3"", ""MT2A"", ""CDC25B"", ""BARD1"", ""SLC7A1"", ""BUB1"", ""H2AX"", ""CDKN2C"", ""CHEK1"", ""CDC7"", ""MYBL2"", ""RAD23B"", ""NOLC1"", ""FBXO5"", ""RAD21"", ""CCND1"", ""RPA2"", ""NUP50"", ""HIRA"", ""STMN1"", ""NASP"", ""H2AZ1"", ""SMC4"", ""SMC2"", ""MEIS1"", ""CUL1"", ""TENT4A"", ""HSPA8"", ""TGFB1"", ""TACC3"", ""BCL3"", ""CDKN1B"", ""KIF5B"", ""CCNF"", ""UBE2C"", ""NCL"", ""TOP2A"", ""PRC1"", ""CHAF1A"", ""PLK4"", ""LMNB1"", ""CENPF"", ""ATRX"", ""CDK1"", ""KPNA2"", ""TRA2B"", ""MCM2"", ""PRMT5"", 
""SAP30"", ""CBX1"", ""SMAD3"", ""CDC6"", ""POLA2"", ""RBL1"", ""RAD54L"", ""MCM3"", ""CDK4"", ""MAD2L1"", ""BUB3"", ""ORC6"", ""MAPK14"", ""SUV39H1"", ""DDX39A"", ""DBF4"", ""TNPO2"", ""MTF2"", ""CCNA2"", ""DKC1"", ""AURKB"", ""CDC27"", ""KIF15"", ""KIF11"", ""EWSR1"", ""MCM5"", ""DR1"", ""TROAP"", ""EZH2"")"
"18","HALLMARK_HEME_METABOLISM",0.0060313630880579,0.0107702912286748,-0.323588164553582,-1.44800383833701,4,190,"c(""CTSB"", ""ELL2"", ""SEC14L1"", ""NFE2"", ""CLIC2"", ""SDCBP"", ""PDZK1IP1"", ""PICALM"", ""TOP1"", ""BACH1"", ""SLC7A11"", ""SMOX"", ""BTG2"", ""BPGM"", ""BNIP3L"", ""TNS1"", ""ACP5"", ""BLVRA"", ""GYPC"", ""LAMP2"", ""GYPE"", ""LMO2"", ""SLC11A2"", ""C3"", ""SNCA"", ""TCEA1"", ""ANK1"", ""NARF"", ""KAT2B"", ""GCLM"", ""PIGQ"", ""HTRA2"", ""RCL1"", ""USP15"", ""TMCC2"", ""ADIPOR1"", ""FBXO7"", ""SLC25A37"", ""MPP1"", ""UCP2"", ""TENT5C"", ""H4C3"", ""MARK3"", ""CPOX"", ""TAL1"")"
"19","HALLMARK_E2F_TARGETS",0.00831353919239905,0.013472938640388,-0.322460950219938,-1.45351593146678,6,200,"c(""NBN"", ""TUBB"", ""CDKN2A"", ""MTHFD2"", ""PRDX4"", ""BRCA2"", ""ANP32E"", ""RFC3"", ""DLGAP5"", ""RRM2"", ""CDC25B"", ""CCP110"", ""BARD1"", ""DEK"", ""H2AX"", ""NAP1L1"", ""CDKN2C"", ""DCK"", ""CHEK1"", ""MYBL2"", ""CNOT9"", ""DNMT1"", ""PPP1R8"", ""NOLC1"", ""DUT"", ""RAD21"", ""RPA2"", ""NME1"", ""STMN1"", ""NASP"", ""H2AZ1"", ""SMC4"", ""SPAG5"", ""SLBP"", ""PSMC3IP"", ""TCF19"", ""MXD3"", ""SSRP1"", ""TACC3"", ""CDKN1B"", ""CTPS1"", ""RAD51AP1"", ""TIMELESS"", ""TOP2A"", ""RFC1"", ""PRKDC"", ""PLK4"", ""RAD50"", ""LMNB1"", ""CDK1"", ""KPNA2"", ""TRA2B"", ""MCM2"", ""HMGB2"", ""DCLRE1B"", ""UBR7"", 
""RBBP7"", ""PA2G4"", ""POLA2"", ""MCM3"", ""ATAD2"", ""GINS3"", ""CDK4"", ""MAD2L1"", ""MSH2"", ""TUBG1"", ""ORC6"", ""SNRPB"", ""SUV39H1"", ""PRPS1"", ""MLH1"", ""DDX39A"", ""POLD3"", ""CBX5"", ""SMC6"", ""BRCA1"", ""ASF1B"", ""POP7"", ""AURKB"", ""CDKN1A"", ""KIF18B"")"
"20","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.04,0.0555555555555556,-0.374706309960237,-1.46936932975961,28,74,"c(""S100A11"", ""LPL"", ""TP53INP1"", ""ANXA5"", ""NIBAN1"", ""PNRC1"", ""ATF5"", ""NFIL3"", ""GPX8"", ""AVPR1A"", ""CLU"", ""STARD4"", ""TNFRSF12A"", ""PLSCR1"", ""LSS"", ""PLAUR"", ""CXCL16"", ""FBXO6"", ""TRIB3"", ""FADS2"", ""STX5"", ""ALCAM"", ""SCD"", ""ERRFI1"", ""PDK3"")"
"21","HALLMARK_TGF_BETA_SIGNALING",0.026431718061674,0.0377747252747253,-0.419918148818041,-1.5407659897675,17,54,"c(""RAB31"", ""SERPINE1"", ""WWTR1"", ""ENG"", ""TGFBR1"", ""HIPK2"", ""FURIN"", ""JUNB"", ""RHOA"", ""UBE2D3"", ""LTBP2"", ""PMEPA1"", ""ACVR1"", ""SKIL"", ""CDKN1C"", ""XIAP"", ""TGFB1"", ""BMPR2"", ""CTNNB1"", ""TRIM33"")"
"22","HALLMARK_GLYCOLYSIS",0.00120918984280532,0.00277008310249307,-0.350252911771722,-1.56900162100933,0,194,"c(""TGFBI"", ""STC1"", ""CENPA"", ""STC2"", ""VCAN"", ""GLRX"", ""SDC2"", ""P4HA1"", ""PKM"", ""CHST2"", ""PGK1"", ""ENO1"", ""SPAG4"", ""ME1"", ""LDHA"", ""HOMER1"", ""DPYSL4"", ""GMPPA"", ""TPST1"", ""DCN"", ""SLC16A3"", ""HSPA5"", ""COL5A1"", ""ENO2"", ""CD44"", ""KIF2A"", ""DDIT4"", ""GNPDA1"", ""MIF"", ""IER3"", ""EGLN3"", ""ERO1A"", ""B3GAT3"", ""SDC3"", ""KDELR3"", ""HK2"", ""LCT"", ""PPIA"", ""PPFIA4"", ""PSMC4"", ""ARPP19"", ""CHPF2"", ""CHST1"", ""STMN1"", ""HDLBP"", ""COPB2"", ""NASP"", ""PLOD1"", ""B4GALT1"", ""CHST4"", ""ALDOB"", ""NANP"", ""GPC4"", ""PDK3"", ""PGAM1"")"
"23","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0106382978723404,0.0166223404255319,-0.382851951766668,-1.58047967287365,7,103,"c(""TBK1"", ""DAPP1"", ""PDK1"", ""CALR"", ""HSP90B1"", ""RIT1"", ""PIK3R3"", ""GRB2"", ""AKT1S1"", ""SLA"", ""ACTR3"", ""LCK"", ""PRKCB"", ""RALB"", ""STAT2"", ""NGF"", ""ACTR2"", ""UBE2D3"", ""EIF4E"", ""TRIB3"", ""PLCG1"", ""ITPR2"", ""MAPK8"", ""PLCB1"", ""PTPN11"", ""ADCY2"", ""MAP2K3"", ""CDKN1B"", ""AP2M1"", ""NCK1"", ""GSK3B"", ""ARPC3"")"
"24","HALLMARK_HEDGEHOG_SIGNALING",0.0153846153846154,0.0233100233100233,-0.474887385990694,-1.60412985476838,9,35,"c(""NRP1"", ""THY1"", ""NRCAM"", ""NRP2"", ""PML"", ""CRMP1"", ""RTN1"", ""DPYSL2"")"
"25","HALLMARK_XENOBIOTIC_METABOLISM",0.00119904076738609,0.00277008310249307,-0.362795495050518,-1.62587774233424,0,191,"c(""AQP9"", ""CFB"", ""HSD11B1"", ""KARS1"", ""SERPINE1"", ""SLC6A6"", ""IL1R1"", ""TDO2"", ""ESR1"", ""HPRT1"", ""ELOVL5"", ""SLC35B1"", ""XDH"", ""SHMT2"", ""TPST1"", ""SSR3"", ""SMOX"", ""KYNU"", ""PTGES"", ""BCAT1"", ""IGFBP4"", ""AOX1"", ""FAS"", ""PTGDS"", ""PGD"", ""MT2A"", ""ENPEP"", ""NINJ1"", ""IGF1"", ""SLC22A1"", ""IRF8"", ""GABARAPL1"", ""FMO1"", ""TMEM176B"", ""ACP2"", ""F10"", ""PSMB10"", ""LONP1"", ""APOE"", ""CES1"", ""SLC12A4"", ""COMT"", ""ITIH4"", ""ARPP19"", ""ABCD2"", ""CNDP2"", ""UPP1"", ""VTN"", ""PTS"", ""REG1A"", ""LCAT"", ""ALAS1"", ""SAR1B"", ""GSTO1"", ""PLG"", ""HGFAC"", ""PYCR1"", 
""GCH1"", ""NMT1"", ""ADH7"", ""ARG2"", ""FBLN1"")"
"26","HALLMARK_UV_RESPONSE_UP",0.00126103404791929,0.00277008310249307,-0.391284627022289,-1.70095151618604,0,152,"c(""IL6"", ""IRF1"", ""TAP1"", ""GRINA"", ""ICAM1"", ""CXCL2"", ""MMP14"", ""LYN"", ""SOD2"", ""MGAT1"", ""RASGRP1"", ""CREG1"", ""BTG2"", ""ARRB2"", ""DLG4"", ""PPT1"", ""OLFM1"", ""NPTX2"", ""EIF2S3"", ""FEN1"", ""NFKBIA"", ""C4BPB"", ""ENO2"", ""ATP6V1F"", ""PPIF"", ""BID"", ""FURIN"", ""PSMC3"", ""PARP2"", ""ATP6V1C1"", ""DNAJA1"", ""FMO1"", ""H2AX"", ""CNP"", ""IL6ST"", ""CASP3"", ""HSPA13"", ""HLA-F"", ""JUNB"")"
"27","HALLMARK_MYC_TARGETS_V1",0.00118764845605701,0.00277008310249307,-0.378197355782848,-1.7047517893067,0,200,"c(""KARS1"", ""HPRT1"", ""PGK1"", ""PSMA6"", ""LDHA"", ""PSMB3"", ""PRDX4"", ""PSMA2"", ""ERH"", ""KPNB1"", ""UBA2"", ""PSMA7"", ""XPOT"", ""CANX"", ""PSMB2"", ""SRM"", ""DEK"", ""HNRNPA2B1"", ""NAP1L1"", ""MRPS18B"", ""PWP1"", ""SET"", ""PSMA4"", ""PSMD7"", ""RAD23B"", ""PPIA"", ""PSMD14"", ""PCBP1"", ""RSL1D1"", ""EIF4E"", ""CCT7"", ""NOLC1"", ""DUT"", ""PABPC1"", ""PSMC4"", ""GLO1"", ""NME1"", ""EIF2S2"", ""H2AZ1"", ""PRPS2"", ""PSMD1"", ""HSPE1"", ""CUL1"", ""PSMA1"", ""HDDC2"", ""HNRNPA3"", ""UBE2E1"", ""CTPS1"", ""ETF1"", ""HSP90AB1"", ""HNRNPC"", ""POLE3"", ""RRM1"", ""EIF3J"", ""PTGES3"", ""ABCE1"", 
""DDX18"", ""KPNA2"", ""HNRNPR"", ""TRA2B"", ""MCM2"", ""CBX3"", ""IARS1"", ""NPM1"", ""PSMC6"", ""PA2G4"", ""APEX1"", ""EEF1B2"", ""SNRPG"", ""RPL34"", ""EPRS1"", ""VBP1"", ""SERBP1"", ""EIF1AX"", ""UBE2L3"", ""CDK4"", ""VDAC1"", ""ILF2"", ""MAD2L1"", ""BUB3"", ""YWHAE"")"
"28","HALLMARK_MYOGENESIS",0.00121951219512195,0.00277008310249307,-0.388177552080006,-1.72895653372305,0,178,"c(""IGFBP7"", ""MAPK12"", ""STC2"", ""COL4A2"", ""ACSL1"", ""SPARC"", ""ADAM12"", ""COL3A1"", ""MRAS"", ""COL6A3"", ""COL1A1"", ""AEBP1"", ""FGF2"", ""KIFC3"", ""WWTR1"", ""BHLHE40"", ""PDLIM7"", ""SPHK1"", ""PTP4A3"", ""DENND2B"", ""GJA5"", ""RIT1"", ""APLNR"", ""COL15A1"", ""TPM2"", ""GADD45B"", ""PDE4DIP"", ""MYBPH"", ""PRNP"", ""MYBPC3"", ""LAMA2"", ""IGF1"", ""CLU"", ""COL6A2"", ""MEF2C"", ""CNN3"", ""LPIN1"", ""ITGB1"", ""RB1"", ""PPFIA4"", ""ITGA7"", ""MEF2A"", ""SCD"", ""LSP1"", ""SCHIP1"", ""MYL6B"", ""SOD3"")"
"29","HALLMARK_PROTEIN_SECRETION",0.0013550135501355,0.00277008310249307,-0.422147307419609,-1.72897410217725,0,96,"c(""BNIP3"", ""COPB1"", ""CTSC"", ""VAMP7"", ""SEC24D"", ""M6PR"", ""ARFGAP3"", ""SEC22B"", ""PPT1"", ""LMAN1"", ""ANP32E"", ""TMED10"", ""GNAS"", ""CAV2"", ""TMED2"", ""LAMP2"", ""ARCN1"", ""VAMP4"", ""RAB5A"", ""GOSR2"", ""SEC31A"", ""STX12"", ""COPB2"", ""AP2M1"", ""SGMS1"", ""SOD1"", ""TMX1"", ""PAM"", ""SNX2"", ""ATP6V1H"", ""ATP6V1B1"", ""SCRN1"", ""VPS45"", ""STAM"", ""NAPG"", ""CLN5"", ""GBF1"")"
"30","HALLMARK_P53_PATHWAY",0.00119617224880383,0.00277008310249307,-0.385029521407238,-1.73315242651028,0,198,"c(""STOM"", ""IFI30"", ""SOCS1"", ""TAP1"", ""CASP1"", ""IL1A"", ""PTPRE"", ""TRAFD1"", ""FBXW7"", ""RGS16"", ""SAT1"", ""SEC61A1"", ""SPHK1"", ""MDM2"", ""CDKN2A"", ""ZFP36L1"", ""SLC7A11"", ""BTG2"", ""SERPINB5"", ""RNF19B"", ""DRAM1"", ""GM2A"", ""RALGDS"", ""FAS"", ""PHLDA3"", ""F2R"", ""NINJ1"", ""RHBDF2"", ""TM4SF1"", ""AEN"", ""CD81"", ""DDIT4"", ""SP1"", ""GPX2"", ""CCP110"", ""S100A4"", ""IER3"", ""PITPNC1"", ""NOL8"", ""PVT1"", ""LDHB"", ""CD82"", ""LIF"", ""IRAG2"", ""ZMAT3"", ""MXD1"", ""TRIB3"", ""RB1"", ""PROCR"", ""CTSF"", ""PLK3"", ""INHBB"", ""FGF13"", ""MAPKAPK3"", ""UPP1"", ""DEF6"", ""ADA""
)"
"31","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00146842878120411,0.0028239015023156,-0.506298886927872,-1.83062650156172,0,49,"c(""ABCC1"", ""GLRX"", ""ATOX1"", ""SOD2"", ""MPO"", ""PRDX4"", ""PTPA"", ""SBNO2"", ""PRNP"", ""TXNRD1"", ""SELENOS"", ""FES"", ""PRDX1"", ""GCLM"", ""CDKN2D"", ""JUNB"", ""FTL"", ""NDUFB4"", ""LSP1"", ""HHEX"")"
"32","HALLMARK_ANDROGEN_RESPONSE",0.00133689839572193,0.00277008310249307,-0.444916843571657,-1.83344985387356,0,100,"c(""DNAJB9"", ""ELL2"", ""SPCS3"", ""ELOVL5"", ""SAT1"", ""B2M"", ""STEAP4"", ""ACTN1"", ""SEC24D"", ""GUCY1A1"", ""HSD17B14"", ""ABHD2"", ""LMAN1"", ""ITGAV"", ""UBE2J1"", ""SLC38A2"", ""MAF"", ""SRF"", ""ARID5B"", ""TNFAIP8"", ""FADS1"", ""AKAP12"", ""PMEPA1"", ""SORD"", ""NKX3-1"", ""ADAMTS1"", ""CCND1"", ""GNAI3"", ""SCD"", ""HOMER2"", ""B4GALT1"", ""XRCC5"", ""SRP19"")"
